forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-08-01,US,D,classic,0.7719,231.37,230,210,255,7.84,3.53,12.26
2018-08-01,US,R,classic,0.2281,203.63,205,180,225,-7.84,-3.53,-12.26
2018-08-02,US,D,classic,0.7431,229.86,228,209,254,7.51,3.24,12.01
2018-08-02,US,R,classic,0.2569,205.14,207,181,226,-7.51,-3.24,-12.01
2018-08-03,US,D,classic,0.744,229.83,228,209,253,7.52,3.27,11.95
2018-08-03,US,R,classic,0.256,205.17,207,182,226,-7.52,-3.27,-11.95
2018-08-04,US,D,classic,0.7446,229.83,228,209,253,7.5,3.25,11.95
2018-08-04,US,R,classic,0.2554,205.17,207,182,226,-7.5,-3.25,-11.95
2018-08-05,US,D,classic,0.7364,229.36,228,208,253,7.46,3.19,11.92
2018-08-05,US,R,classic,0.2636,205.64,207,182,227,-7.46,-3.19,-11.92
2018-08-06,US,D,classic,0.7388,229.38,228,208,253,7.46,3.2,11.87
2018-08-06,US,R,classic,0.2612,205.62,207,182,227,-7.46,-3.2,-11.87
2018-08-07,US,D,classic,0.7168,228.37,227,208,251,7.27,3,11.68
2018-08-07,US,R,classic,0.2832,206.63,208,184,227,-7.27,-3,-11.68
2018-08-08,US,D,classic,0.7055,227.73,226,207,250,7.11,2.86,11.53
2018-08-08,US,R,classic,0.2945,207.27,209,185,228,-7.11,-2.86,-11.53
2018-08-09,US,D,classic,0.7228,228.63,227,208,251,7.31,3.1,11.72
2018-08-09,US,R,classic,0.2772,206.37,208,184,227,-7.31,-3.1,-11.72
2018-08-10,US,D,classic,0.7308,228.83,227,208,252,7.32,3.1,11.75
2018-08-10,US,R,classic,0.2692,206.17,208,183,227,-7.32,-3.1,-11.75
2018-08-11,US,D,classic,0.7282,228.72,227,208,251,7.32,3.12,11.73
2018-08-11,US,R,classic,0.2718,206.28,208,184,227,-7.32,-3.12,-11.73
2018-08-12,US,D,classic,0.7437,229.56,228,209,252,7.49,3.3,11.89
2018-08-12,US,R,classic,0.2563,205.44,207,183,226,-7.49,-3.3,-11.89
2018-08-13,US,D,classic,0.751,229.99,228,209,253,7.62,3.41,11.99
2018-08-13,US,R,classic,0.249,205.01,207,182,226,-7.62,-3.41,-11.99
2018-08-14,US,D,classic,0.7505,229.75,228,209,253,7.59,3.38,11.92
2018-08-14,US,R,classic,0.2495,205.25,207,182,226,-7.59,-3.38,-11.92
2018-08-15,US,D,classic,0.7524,229.8,228,209,253,7.59,3.39,11.94
2018-08-15,US,R,classic,0.2476,205.2,207,182,226,-7.59,-3.39,-11.94
2018-08-16,US,D,classic,0.7459,229.61,228,209,252.5,7.59,3.46,11.93
2018-08-16,US,R,classic,0.2541,205.39,207,182.5,226,-7.59,-3.46,-11.93
2018-08-17,US,D,classic,0.7551,229.86,228,209,253,7.6,3.45,11.95
2018-08-17,US,R,classic,0.2449,205.14,207,182,226,-7.6,-3.45,-11.95
2018-08-18,US,D,classic,0.7493,229.82,228,209,253,7.6,3.45,11.96
2018-08-18,US,R,classic,0.2507,205.18,207,182,226,-7.6,-3.45,-11.96
2018-08-19,US,D,classic,0.7534,229.69,228,209,252,7.58,3.42,11.89
2018-08-19,US,R,classic,0.2466,205.31,207,183,226,-7.58,-3.42,-11.89
2018-08-20,US,D,classic,0.7346,228.76,227,209,251,7.61,3.14,12.07
2018-08-20,US,R,classic,0.2654,206.24,208,184,226,-7.61,-3.14,-12.07
2018-08-21,US,D,classic,0.7311,228.69,227,209,251,7.6,3.15,12.02
2018-08-21,US,R,classic,0.2689,206.31,208,184,226,-7.6,-3.15,-12.02
2018-08-22,US,D,classic,0.7162,227.73,226,208,250,7.41,2.98,11.83
2018-08-22,US,R,classic,0.2838,207.27,209,185,227,-7.41,-2.98,-11.83
2018-08-23,US,D,classic,0.7204,228.08,226,208,250,7.53,3.06,11.95
2018-08-23,US,R,classic,0.2796,206.92,209,185,227,-7.53,-3.06,-11.95
2018-08-24,US,D,classic,0.7267,228.26,227,208,250,7.55,3.12,11.94
2018-08-24,US,R,classic,0.2733,206.74,208,185,227,-7.55,-3.12,-11.94
2018-08-25,US,D,classic,0.7273,228.33,227,208,250,7.56,3.09,11.98
2018-08-25,US,R,classic,0.2727,206.67,208,185,227,-7.56,-3.09,-11.98
2018-08-26,US,D,classic,0.7271,228.16,226,209,250,7.57,3.17,11.92
2018-08-26,US,R,classic,0.2729,206.85,209,185,226,-7.57,-3.17,-11.92
2018-08-27,US,D,classic,0.7153,227.71,226,208,249,7.53,3.13,11.92
2018-08-27,US,R,classic,0.2847,207.29,209,186,227,-7.53,-3.13,-11.92
2018-08-28,US,D,classic,0.7422,228.84,227,209,251,7.87,3.49,12.26
2018-08-28,US,R,classic,0.2578,206.16,208,184,226,-7.87,-3.49,-12.26
2018-08-29,US,D,classic,0.7262,227.96,226,209,249,7.69,3.33,12.03
2018-08-29,US,R,classic,0.2738,207.04,209,186,226,-7.69,-3.33,-12.03
2018-08-30,US,D,classic,0.7171,227.67,226,208,249,7.66,3.24,12.03
2018-08-30,US,R,classic,0.2829,207.33,209,186,227,-7.66,-3.24,-12.03
2018-08-31,US,D,classic,0.741,228.78,227,209,251,7.85,3.48,12.17
2018-08-31,US,R,classic,0.259,206.22,208,184,226,-7.85,-3.48,-12.17
2018-09-01,US,D,classic,0.7419,228.77,227,209,251,7.85,3.55,12.2
2018-09-01,US,R,classic,0.2581,206.23,208,184,226,-7.85,-3.55,-12.2
2018-09-02,US,D,classic,0.739,228.73,227,209,251,7.78,3.43,12.08
2018-09-02,US,R,classic,0.261,206.27,208,184,226,-7.78,-3.43,-12.08
2018-09-03,US,D,classic,0.776,230.57,229,210,253,8.16,3.8,12.49
2018-09-03,US,R,classic,0.224,204.43,206,182,225,-8.16,-3.8,-12.49
2018-09-04,US,D,classic,0.7927,231.46,230,211,254,8.36,4.04,12.69
2018-09-04,US,R,classic,0.2073,203.54,205,181,224,-8.36,-4.04,-12.69
2018-09-05,US,D,classic,0.7693,230.18,229,210,252,8.08,3.8,12.36
2018-09-05,US,R,classic,0.2307,204.82,206,183,225,-8.08,-3.8,-12.36
2018-09-06,US,D,classic,0.774,230.46,229,210,252,8.1,3.86,12.4
2018-09-06,US,R,classic,0.226,204.54,206,183,225,-8.1,-3.86,-12.4
2018-09-07,US,D,classic,0.7634,229.93,228,210,252,8.08,3.75,12.36
2018-09-07,US,R,classic,0.2366,205.07,207,183,225,-8.08,-3.75,-12.36
2018-09-08,US,D,classic,0.7794,230.76,229,211,253,8.22,3.96,12.5
2018-09-08,US,R,classic,0.2206,204.24,206,182,224,-8.22,-3.96,-12.5
2018-09-09,US,D,classic,0.7779,230.69,229,211,253,8.23,3.91,12.53
2018-09-09,US,R,classic,0.2221,204.31,206,182,224,-8.23,-3.91,-12.53
2018-09-10,US,D,classic,0.7842,231,230,211,253,8.28,3.96,12.53
2018-09-10,US,R,classic,0.2158,204,205,182,224,-8.28,-3.96,-12.53
2018-09-11,US,D,classic,0.7875,231.06,230,211,253,8.42,4.11,12.65
2018-09-11,US,R,classic,0.2125,203.94,205,182,224,-8.42,-4.11,-12.65
2018-09-12,US,D,classic,0.8283,233.74,232,213,256,8.94,4.73,13.12
2018-09-12,US,R,classic,0.1717,201.26,203,179,222,-8.94,-4.73,-13.12
2018-09-13,US,D,classic,0.8299,233.7,232,213,257,8.91,4.71,13.16
2018-09-13,US,R,classic,0.1701,201.3,203,178,222,-8.91,-4.71,-13.16
2018-09-14,US,D,classic,0.8315,233.75,232,213,256,8.9,4.73,13.12
2018-09-14,US,R,classic,0.1685,201.25,203,179,222,-8.9,-4.73,-13.12
2018-09-15,US,D,classic,0.8278,233.55,232,213,256,8.9,4.67,13.08
2018-09-15,US,R,classic,0.1722,201.45,203,179,222,-8.9,-4.67,-13.08
2018-09-16,US,D,classic,0.8306,233.69,232,213,256,8.92,4.73,13.09
